model,Om_m0,n_TF,C_best,chi2_SN,chi2_BAO,chi2_tot,dof
TFGR,0.23,-0.2799999999999999,-19.40062886241134,1083.5164250446521,21.632040202011833,1105.148465246664,1059
TFGR,0.23,-0.2599999999999999,-19.399076914903677,1080.633581178823,21.358310121021777,1101.9918912998448,1059
TFGR,0.23,-0.24,-19.39752240725657,1077.83120656715,21.087217851458973,1098.918424418609,1059
TFGR,0.23,-0.21999999999999997,-19.395965341589772,1075.1102834278968,20.818863420628492,1095.9291468485253,1059
TFGR,0.23,-0.2,-19.394405720113525,1072.4717995309795,20.55334975350713,1093.0251492844866,1059
TFGR,0.23500000000000001,-0.8,-19.437156949625503,1170.2230271226128,27.86057505454389,1198.0836021771568,1059
TFGR,0.23500000000000001,-0.78,-19.435689178072753,1165.852366448949,27.56307163862867,1193.4154380875775,1059
TFGR,0.23500000000000001,-0.76,-19.43421881909097,1161.5373981575685,27.266497044478857,1188.8038952020474,1059
TFGR,0.23500000000000001,-0.74,-19.43274587243043,1157.2789274223646,26.97089786339235,1184.249825285757,1059
TFGR,0.23500000000000001,-0.72,-19.431270337912895,1153.077765735704,26.676322102871143,1179.754087838575,1059
TFGR,0.23500000000000001,-0.7000000000000001,-19.429792215432368,1148.934730901597,26.38281922616203,1175.317550127759,1059
TFGR,0.23500000000000001,-0.68,-19.428311504955797,1144.8506470275215,26.090440192834574,1170.9410872203562,1059
TFGR,0.23500000000000001,-0.66,-19.426828206523822,1140.8263445147288,25.799237500421683,1166.6255820151505,1059
TFGR,0.23500000000000001,-0.64,-19.425342320251495,1136.8626600470898,25.50926522714772,1162.3719252742376,1059
TFGR,0.23500000000000001,-0.62,-19.42385384632899,1132.9604365784726,25.220579075770118,1158.1810156542426,1059
TFGR,0.23500000000000001,-0.6,-19.42236278502234,1129.1205233185278,24.933236418560828,1154.0537597370887,1059
TFGR,0.23500000000000001,-0.5800000000000001,-19.420869136674145,1125.3437757169759,24.647296343454435,1149.9910720604303,1059
TFGR,0.23500000000000001,-0.56,-19.419372901704282,1121.6310554462852,24.36281970139,1145.9938751476752,1059
TFGR,0.23500000000000001,-0.54,-19.417874080610623,1117.9832303827388,24.07986915487471,1142.0630995376137,1059
TFGR,0.23500000000000001,-0.52,-19.41637267396973,1114.4011745858807,23.798509227797368,1138.1996838136781,1059
TFGR,0.23500000000000001,-0.5,-19.414868682437568,1110.8857682763032,23.518806356520663,1134.4045746328238,1059
TFGR,0.23500000000000001,-0.48,-19.413362106750206,1107.437897811768,23.240828942281357,1130.6787267540492,1059
TFGR,0.23500000000000001,-0.45999999999999996,-19.41185294772448,1104.0584556615847,22.964647404928236,1127.023103066513,1059
TFGR,0.23500000000000001,-0.43999999999999995,-19.410341206258725,1100.748340379279,22.69033423802821,1123.4386746173072,1059
TFGR,0.23500000000000001,-0.42,-19.40882688333342,1097.5084565735442,22.417964065371027,1119.9264206389153,1059
TFGR,0.23500000000000001,-0.39999999999999997,-19.407309980011874,1094.3397148773397,22.147613698904312,1116.487328576244,1059
TFGR,0.23500000000000001,-0.37999999999999995,-19.405790497440922,1091.2430319152495,21.879362198130334,1113.1223941133799,1059
TFGR,0.23500000000000001,-0.36,-19.404268436851563,1088.2193302689943,21.613290930997017,1109.8326211999913,1059
TFGR,0.23500000000000001,-0.33999999999999997,-19.40274379955962,1085.2695384411074,21.34948363631604,1106.6190220774236,1059
TFGR,0.23500000000000001,-0.31999999999999995,-19.401216586966402,1082.3945908167307,21.08802648774093,1103.4826173044717,1059
TFGR,0.23500000000000001,-0.29999999999999993,-19.39968680055935,1079.5954276235257,20.829008159339658,1100.4244357828654,1059
TFGR,0.23500000000000001,-0.2799999999999999,-19.398154441912663,1076.8729948896828,20.57251989279519,1097.445514782478,1059
TFGR,0.23500000000000001,-0.2599999999999999,-19.39661951268793,1074.2282444000032,20.318655566269506,1094.5468999662726,1059
TFGR,0.23500000000000001,-0.24,-19.395082014634767,1071.6621336499975,20.06751176496593,1091.7296454149634,1059
