time_utc,et,L_km,L_m,L_AU
1986-01-24 06:03:00,-439797364.8154153,2677291904.6542015,2677291904654.2017,17.896590988405034
1986-01-24 06:04:00,-439797304.8154153,2677293425.8390846,2677293425839.0845,17.896601156897916
1986-01-24 06:05:00,-439797244.8154153,2677294947.0492496,2677294947049.2495,17.896611325559796
1986-01-24 06:06:00,-439797184.8154153,2677296468.2847495,2677296468284.7495,17.896621494391027
1986-01-24 06:07:00,-439797124.8154153,2677297989.5456347,2677297989545.635,17.89663166339195
1986-01-24 06:08:00,-439797064.8154153,2677299510.8319607,2677299510831.9604,17.896641832562935
1986-01-24 06:09:00,-439797004.8154153,2677301032.1437774,2677301032143.7773,17.896652001904314
1986-01-24 06:10:00,-439796944.8154153,2677302553.481138,2677302553481.138,17.896662171416445
1986-01-24 06:11:00,-439796884.8154153,2677304074.8440976,2677304074844.0977,17.89667234109969
1986-01-24 06:12:00,-439796824.8154153,2677305596.2327065,2677305596232.7065,17.896682510954395
1986-01-24 06:13:00,-439796764.8154153,2677307117.6470203,2677307117647.0205,17.896692680980923
1986-01-24 06:14:00,-439796704.8154153,2677308639.0870914,2677308639087.0913,17.89670285117963
1986-01-24 06:15:00,-439796644.8154153,2677310160.5529747,2677310160552.9746,17.89671302155088
1986-01-24 06:16:00,-439796584.8154153,2677311682.0447226,2677311682044.7227,17.896723192095024
1986-01-24 06:17:00,-439796524.8154153,2677313203.56239,2677313203562.3896,17.89673336281243
1986-01-24 06:18:00,-439796464.8154153,2677314725.1060295,2677314725106.0293,17.89674353370345
1986-01-24 06:19:00,-439796404.8154153,2677316246.6756973,2677316246675.6973,17.896753704768457
1986-01-24 06:20:00,-439796344.8154153,2677317768.2714477,2677317768271.4478,17.896763876007814
1986-01-24 06:21:00,-439796284.8154153,2677319289.8933344,2677319289893.3345,17.896774047421882
1986-01-24 06:22:00,-439796224.8154153,2677320811.541413,2677320811541.4126,17.896784219011032
1986-01-24 06:23:00,-439796164.8154153,2677322333.2157383,2677322333215.7383,17.896794390775632
1986-01-24 06:24:00,-439796104.8154153,2677323854.9163656,2677323854916.3657,17.89680456271605
1986-01-24 06:25:00,-439796044.8154153,2677325376.6433516,2677325376643.3516,17.896814734832663
1986-01-24 06:26:00,-439795984.8154153,2677326898.3967485,2677326898396.7485,17.896824907125826
1986-01-24 06:27:00,-439795924.8154153,2677328420.1766148,2677328420176.6147,17.896835079595924
1986-01-24 06:28:00,-439795864.8154153,2677329941.9830065,2677329941983.0063,17.89684525224333
1986-01-24 06:29:00,-439795804.8154153,2677331463.815979,2677331463815.979,17.89685542506842
1986-01-24 06:30:00,-439795744.8154153,2677332985.675587,2677332985675.5874,17.89686559807156
1986-01-24 06:31:00,-439795684.8154153,2677334507.56189,2677334507561.89,17.896875771253143
1986-01-24 06:32:00,-439795624.8154153,2677336029.474943,2677336029474.9434,17.896885944613537
1986-01-24 06:33:00,-439795564.8154153,2677337551.4148016,2677337551414.802,17.896896118153116
1986-01-24 06:34:00,-439795504.8154153,2677339073.381526,2677339073381.526,17.896906291872284
1986-01-24 06:35:00,-439795444.8154153,2677340595.37517,2677340595375.1704,17.896916465771397
1986-01-24 06:36:00,-439795384.8154153,2677342117.395794,2677342117395.794,17.896926639850857
1986-01-24 06:37:00,-439795324.8154153,2677343639.443454,2677343639443.4536,17.896936814111044
1986-01-24 06:38:00,-439795264.8154153,2677345161.518207,2677345161518.207,17.89694698855234
1986-01-24 06:39:00,-439795204.8154153,2677346683.6201115,2677346683620.1113,17.896957163175127
