z,mu_SN,mu_err,mu_TFGR,delta_mu_data,delta_mu_model
0.76159,23.97575,0.15445,44.23702155202963,-0.45500469813642397,-0.40499540150329305
0.85852,24.54425,0.17845,44.613474605335874,-0.2629577514426664,-0.4602240795600253
0.55875,23.6061,0.15165,43.298841110416774,0.1135257434764334,-0.28650863106122304
0.48072,22.74835,0.1138,42.86066976758961,-0.3060529136964085,-0.2402955668070628
0.92224,24.57175,0.18725,44.84213329221453,-0.46411643832131944,-0.495945163269609
0.47572,22.6952,0.109,42.83064287342742,-0.3291760195342164,-0.23733236737911587
0.8932,24.5781,0.1577,44.73959816773204,-0.35523131383883566,-0.4797248453835314
0.6319,23.1617,0.17705,43.66558029285008,-0.6976134389568749,-0.3296086669810174
0.73602,24.02845,0.2108,44.13108664418482,-0.2963697902916138,-0.39025758762350254
0.41865,22.38625,0.1152,42.46743243394451,-0.274915580051303,-0.20355973917391007
0.53578,22.98355,0.1266,43.17545563506678,-0.38563878117357575,-0.2729192070223635
0.73501,24.09175,0.17825,44.12683824219624,-0.2288213883030359,-0.38967408917143764
0.60987,23.5447,0.14865,43.55902041831119,-0.2080535644179875,-0.31666312896646337
0.70198,23.8387,0.16475,43.98527528927553,-0.34030843538232247,-0.37053694430364376
0.9833,24.78095,0.143,45.04924833191794,-0.46203147802473055,-0.5297204761474555
0.75905,24.0557,0.15165,44.22661188990308,-0.3646450360098754,-0.40353442944437357
0.64364,23.6045,0.2013,43.72110361237132,-0.31033675847811537,-0.33649314218584964
0.51559,23.02365,0.1762,43.06326472100776,-0.23334786711455635,-0.26096127029682076
0.80569,24.0139,0.1301,44.41294021572782,-0.5927733618346167,-0.4302515679491595
0.8007,23.82255,0.1606,44.39343160583404,-0.7646147519408331,-0.42740436315813446
0.71565,23.84395,0.19425,44.04453494374633,-0.39431808985312244,-0.37846993003899937
0.76668,24.2307,0.1806,44.25773029153801,-0.22076343764480555,-0.4079210661140832
0.90173,24.5128,0.1511,44.77000092975569,-0.45093407586248446,-0.48449966834670843
0.71868,23.68915,0.15095,44.057517020163296,-0.5621001662700884,-0.3802258891756794
0.5796,23.1779,0.1197,43.40725332275586,-0.42308646886264967,-0.29882460534511496
0.96074,24.80925,0.14255,44.974004589942865,-0.35848773604966055,-0.5172938543365315
0.64864,23.53665,0.159,43.744535117516826,-0.4016182636236181,-0.33942199381559574
0.93675,24.4717,0.1405,44.89236480430878,-0.6143979504155723,-0.5040120500172546
0.46156,22.76265,0.11115,42.7440631082503,-0.1751462543570952,-0.22894259326361832
0.67065,23.78495,0.1775,43.84579854292151,-0.2545816890283028,-0.3522908260299593
0.24649,21.16055,0.10805,41.03611334392814,-0.06929649003493665,-0.10423617226822829
0.63822,23.49005,0.184,43.69557028389495,-0.39925343000174607,-0.333316083351791
0.53532,23.06945,0.11085,43.17295314243316,-0.29723628853995265,-0.27264687944646476
