time,Bx,By,Bz,B_total
2019-03-06 19:36:03+00:00,-145365648.0,-17408653.0,623070.06,146405672.8205365
2019-03-06 19:36:04+00:00,-145365648.0,-17408684.6,623069.68,146405676.5763825
2019-03-06 19:36:05+00:00,-145365648.0,-17408715.0,623069.31,146405680.18958893
2019-03-06 19:36:06+00:00,-145365648.0,-17408746.6,623068.94,146405683.9454907
2019-03-06 19:36:07+00:00,-145365648.0,-17408777.0,623068.57,146405687.5587098
2019-03-06 19:36:08+00:00,-145365648.0,-17408808.6,623068.19,146405691.31458217
2019-03-06 19:36:09+00:00,-145365648.0,-17408839.0,623067.82,146405694.927814
2019-03-06 19:36:10+00:00,-145365648.0,-17408870.7,623067.45,146405698.695633
2019-03-06 19:36:11+00:00,-145365648.0,-17408901.1,623067.07,146405702.30883497
2019-03-06 19:36:12+00:00,-145365648.0,-17408932.7,623066.7,146405706.0647763
2019-03-06 19:36:13+00:00,-145365648.0,-17408963.1,623066.32,146405709.67799097
2019-03-06 19:36:14+00:00,-145365648.0,-17408994.7,623065.95,146405713.43394554
2019-03-06 19:36:15+00:00,-145365648.0,-17409025.1,623065.58,146405717.04721546
2019-03-06 19:36:16+00:00,-145365648.0,-17409056.8,623065.2,146405720.81503162
2019-03-06 19:36:17+00:00,-145365648.0,-17409087.2,623064.83,146405724.42831424
2019-03-06 19:36:18+00:00,-145365659.2,-17409118.8,623064.45,146405739.30468675
2019-03-06 19:36:19+00:00,-145365664.0,-17409149.2,623064.08,146405747.6838821
2019-03-06 19:36:20+00:00,-145365664.0,-17409180.8,623063.71,146405751.43987584
2019-03-06 19:36:21+00:00,-145365664.0,-17409211.2,623063.33,146405755.0531409
2019-03-06 19:36:22+00:00,-145365664.0,-17409242.9,623062.96,146405758.82103893
2019-03-06 19:36:23+00:00,-145365664.0,-17409273.3,623062.58,146405762.43431672
2019-03-06 19:36:24+00:00,-145365664.0,-17409304.9,623062.21,146405766.19033688
2019-03-06 19:36:25+00:00,-145365664.0,-17409335.3,623061.83,146405769.80362737
2019-03-06 19:36:26+00:00,-145365664.0,-17409366.9,623061.46,146405773.5596607
2019-03-06 19:36:27+00:00,-145365664.0,-17409397.3,623061.09,146405777.17300645
2019-03-06 19:36:28+00:00,-145365664.0,-17409429.0,623060.71,146405780.94090164
2019-03-06 19:36:29+00:00,-145365664.0,-17409459.4,623060.34,146405784.5542601
2019-03-06 19:36:30+00:00,-145365664.0,-17409491.0,623059.97,146405788.31031987
2019-03-06 19:36:31+00:00,-145365664.0,-17409521.4,623059.59,146405791.92364845
