L_m,dt_tfgr
17382813.074802198,7.472270742650012e-19
17767438.15433787,7.483265283339569e-19
18160573.735089384,7.494314415210821e-19
18562408.12675059,7.505418423139587e-19
18973133.805695757,7.516577593586165e-19
19392947.50717513,7.527792214604743e-19
19822050.31954966,7.5390625758528435e-19
20260647.780611277,7.550388968600852e-19
20708949.976034388,7.561771685741577e-19
21167171.640005376,7.573211021799894e-19
21635532.25807956,7.584707272942437e-19
22114256.17231317,7.596260736987354e-19
22603572.688722007,7.607871713414117e-19
23103716.187117707,7.619540503373402e-19
23614926.233374424,7.631267409697023e-19
24137447.694179125,7.643052736907929e-19
24671530.85432192,7.654896791230265e-19
25217431.536580645,7.666799880599499e-19
25775411.22425862,7.678762314672602e-19
26345737.186433755,7.690784404838298e-19
26928682.605978478,7.702866464227373e-19
27524526.71041341,7.715008807723056e-19
28133554.90565534,7.727211751971458e-19
28756058.912725095,7.739475615392078e-19
29392336.907480404,7.751800718188369e-19
30042693.66343992,7.764187382358372e-19
30707440.69776871,7.776635931705432e-19
31386896.42049273,7.789146691848947e-19
32081386.28701552,7.801719990235221e-19
32791242.95400961,7.814356156148352e-19
33516806.43875663,7.827055520721203e-19
34258424.282014444,7.839818416946454e-19
35016451.71448666,7.852645179687691e-19
35791251.82697621,7.86553614569059e-19
36583195.74430394,7.878491653594164e-19
37392662.8030747,7.891512043942067e-19
38220040.73337825,7.904597659193987e-19
39065725.844509184,7.917748843737101e-19
39930123.21479697,7.930965943897598e-19
40813646.88563615,7.944249307952273e-19
41716720.05980997,7.95759928614021e-19
42639775.30420138,7.971016230674504e-19
43583254.756991185,7.984500495754097e-19
44547610.33943894,7.998052437575645e-19
45533303.97235087,8.011672414345503e-19
46540807.7973375,8.02536078629174e-19
47570604.40296597,8.039117915676258e-19
48623187.055918366,8.052944166806982e-19
49699059.937262885,8.066839906050115e-19
50798738.383953854,8.080805501842479e-19
51922749.135675415,8.094841324703926e-19
53071630.58714597,8.108947747249835e-19
54245933.0460074,8.123125144203665e-19
55446218.996418506,8.137373892409624e-19
56673063.36848183,8.151694370845377e-19
57927053.8136322,8.166086960634857e-19
59208790.986117385,8.180552045061138e-19
60518888.83070953,8.195090009579417e-19
61857974.87678019,8.209701241830035e-19
63226690.53888358,8.224386131651622e-19
64625691.42399072,8.239145071094289e-19
66055647.64552037,8.253978454432912e-19
67517244.14432111,8.268886678180521e-19
69011181.01675306,8.2838701411017325e-19
70538173.85003021,8.298929244226302e-19
72098954.06498273,8.314064390862726e-19
73694269.26640353,8.329275986611968e-19
75324883.60114557,8.344564439381223e-19
76991578.1241456,8.35993015939782e-19
78695151.17254378,8.375373559223161e-19
80436418.74808295,8.390895053766779e-19
82216214.90796912,8.4064950603004735e-19
84035392.16437873,8.42217399847252e-19
85894821.89280912,8.437932290321998e-19
87795394.74946111,8.453770360293182e-19
89738021.0978585,8.469688635250027e-19
91723631.44490741,8.48568754449075e-19
93753176.88660225,8.501767519762492e-19
95827629.56359752,8.517928995276094e-19
97947983.12685604,8.534172407720927e-19
100115253.2136026,8.55049819627985e-19
102330477.9338087,8.56690680264424e-19
104594718.36743958,8.5833986710291115e-19
106909059.07270806,8.599974248188355e-19
109274608.60556997,8.616633983430047e-19
111692500.0507166,8.633378328631855e-19
114163891.56431614,8.650207738256553e-19
116689966.92876211,8.667122669367617e-19
119271936.11970109,8.68412358164493e-19
121911035.88560224,8.701210937400583e-19
124608530.34015326,8.71838520159475e-19
127365711.56776366,8.735646841851708e-19
130183900.24246615,8.752996328475909e-19
133064446.26051004,8.770434134468174e-19
136008729.38695687,8.787960735541994e-19
139018159.91657782,8.80557661013992e-19
142094179.34937757,8.823282239450047e-19
145238261.08106488,8.841078107422626e-19
148451911.10879856,8.858964700786746e-19
151736668.75255492,8.876942509067147e-19
155094107.3924509,8.895012024601133e-19
158525835.2223847,8.913173742555566e-19
162033496.02035218,8.931428160943997e-19
165618769.9358045,8.949775780643866e-19
169283374.29443383,8.968217105413864e-19
173029064.4207602,8.986752641911345e-19
176857634.47892243,9.00538289970987e-19
180770918.3320731,9.024108391316877e-19
184770790.42078573,9.042929632191415e-19
188859166.66090545,9.061847140762044e-19
193038005.36125883,9.080861438444792e-19
197309308.1616732,9.099973049661269e-19
201675120.99175164,9.119182501856857e-19
206137535.05085823,9.138490325519035e-19
210698687.80979547,9.157897054195797e-19
215360764.03463727,9.177403224514223e-19
220125996.83322033,9.197009376199105e-19
224996668.72478992,9.216716052091755e-19
229975112.73331442,9.236523798168868e-19
235063713.50498688,9.256433163561538e-19
240264908.45046237,9.276444700574387e-19
245581188.91236007,9.296558964704813e-19
251015101.358603,9.31677651466234e-19
256569248.6021627,9.337097912388104e-19
262246291.04778758,9.357523723074444e-19
268048947.9663277,9.378054515184653e-19
273979998.797246,9.398690860472799e-19
280042284.47995466,9.41943333400369e-19
286238708.8146103,9.440282514172994e-19
292572239.8530128,9.461238982727406e-19
299045911.32029206,9.48230332478503e-19
305662824.0680404,9.503476128855828e-19
312426147.559604,9.524757986862206e-19
319339121.3882389,9.546149494159745e-19
326405056.82885236,9.567651249558032e-19
333627338.4240925,9.589263855341648e-19
341009425.60551965,9.610987917291265e-19
348554854.3506556,9.632824044704886e-19
356267238.87669796,9.65477285041921e-19
364150273.37170386,9.676834950831119e-19
372207733.7640934,9.699010965919326e-19
380443479.531292,9.721301519266122e-19
388861455.54839975,9.743707238079288e-19
397465693.9777652,9.76622875321412e-19
406260316.2003619,9.788866699195586e-19
415249534.7899158,9.81162171424066e-19
424437655.53069764,9.834494440280743e-19
433829079.47997046,9.85748552298425e-19
443428305.07607096,9.880595611779328e-19
453239930.2931376,9.903825359876733e-19
463268654.84350646,9.927175424292796e-19
473519282.4288575,9.950646465872607e-19
483996723.0411531,9.974239149313275e-19
494705995.3144976,9.997954143187363e-19
505652228.9290367,1.0021792119966475e-18
516840667.0680365,1.0045753756044944e-18
528276668.9293507,1.006983973176373e-18
539965712.2924373,1.009405073143442e-18
551913396.142186,1.0118387443363383e-18
564125443.3508021,1.0142850559876084e-18
576607703.41902,1.0167440777341535e-18
589366155.2779949,1.019215879619692e-18
602406910.1531671,1.0217005320972336e-18
615736214.4915063,1.024198106031573e-18
629360452.953527,1.0267086727017945e-18
643286151.4714934,1.0292323038037934e-18
657519980.3753191,1.031769071452817e-18
672068757.5876076,1.0343190481860153e-18
686939451.8893995,1.036882306965009e-18
702139186.2581826,1.0394589211784781e-18
717675241.2797453,1.042048964644757e-18
733555058.6355531,1.0446525116144565e-18
749786244.6672597,1.0472696367730938e-18
766376574.0201042,1.0499004152437415e-18
783333993.3669215,1.0525449225896931e-18
800666625.2145567,1.0552032348171458e-18
818382771.7944862,1.0578754283778955e-18
836490919.039558,1.0605615801720552e-18
854999740.6486934,1.063261767550784e-18
873918102.2415409,1.0659760683190365e-18
893255065.6050618,1.0687045607383266e-18
913019893.0340594,1.0714473235295102e-18
933222051.7677876,1.074204435875585e-18
953871218.5246886,1.0769759774245064e-18
974977284.1374906,1.0797620282920206e-18
996550358.2908636,1.0825626690645166e-18
1018600774.3638841,1.0853779808018933e-18
1041139094.3796889,1.088208045040448e-18
1064176114.064608,1.0910529437957784e-18
1087722868.0192595,1.0939127595657051e-18
1111790635.0040643,1.0967875753332127e-18
1136390943.3416905,1.099677474569403e-18
1161535576.4390807,1.102582541236477e-18
1187236578.4316182,1.1055028597907253e-18
1213506259.9522038,1.1084385151855415e-18
1240357204.0279832,1.1113895928744537e-18
1267802272.1075258,1.114356178814173e-18
